Date Added,Song,Artist,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
04/30/2021,Bestfriend,Novaakan3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/05/2021,Addicted to Finessing,Retro Messiah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2021,Cabelas,Skurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/16/2021,S.I.M.P,Kylesimps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/16/2021,Freaky Bih from Da A,Louisvt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/20/2021,Hold On,Lonni Monae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/21/2021,MY STORY,Mike Dimes,0,0,0,0,0,0,0,0,0,5100,5200,5300,5400,5400,5500,5600,5700,5700,5800,5900,5900,5900,6000,6100,6100,6200,6200,6300,6300,6400,6400
05/24/2021,Literal Legend,Ayesha Erotica,196800,197200,197500,197600,198000,198400,198600,198900,199200,199400,199700,200000,200300,200500,200700,201000,201200,201400,201600,201800,202000,202100,202400,202600,202800,203000,203200,203400,203800,204200,204400
05/25/2021,Yay Yay,Compton Ro2co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/25/2021,Vibe,Chriseanrock,0,0,0,5200,6500,7300,7600,8700,9400,10000,10400,11100,11500,11800,12300,12800,13200,13600,13800,14100,14300,14500,14700,14800,15100,15300,15500,15800,16000,16300,16500
05/26/2021,Life Ain't Fair,B3Y0NDA110DD$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/03/2021,Used To,KB Mike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/04/2021,Just A Moment,Symphani Soto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/07/2021,FEET!,Nascar Aloe,13500,13600,13700,13800,13900,14000,14000,14100,14200,14300,14300,14400,14500,14500,14600,14600,14700,14700,14800,14800,14900,14900,15000,15000,15000,15100,15100,15200,15200,15200,15300
06/08/2021,Booted Up,PlayBoy On The Beat,5700,5800,5900,6000,6000,6100,6100,6200,6300,6300,6400,6400,6500,6500,6500,6600,6600,6600,6700,6700,6700,6800,6800,6800,6800,6900,6900,6900,6900,6900,7000
06/14/2021,MUKKBANG,Lil Cherry,46300,49500,49500,56900,60900,65300,68700,72300,76100,78800,81900,84700,87100,88900,89900,92700,94400,95900,97200,98600,99900,101000,102100,103200,103900,105400,105900,107100,107300,107600,107800
06/14/2021,One More I Love You,Alex Warren,6100,7300,8100,9000,9600,10200,11100,12000,12800,13600,14200,14900,14800,15000,15200,15600,15900,16000,16100,16200,16200,16300,16300,16400,16500,16500,16600,16700,16700,16700,16800
06/15/2021,Maneuver,26AR,61400,67200,71200,75400,79200,82500,86500,90100,93400,96400,99400,101900,103800,106300,108000,109800,111900,113600,115000,116300,117500,118400,119400,120300,121300,122300,122900,123600,124300,124900,125500
06/16/2021,Nine Months,Annie DiRusso,0,0,0,0,0,0,0,0,0,0,0,0,5000,5100,5200,5300,5400,5400,5500,5600,5600,5700,5700,5800,5800,5900,6000,6000,6100,6200,6300
06/24/2021,Can I Get a Thumb,Beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/24/2021,Butterflies,Fase Yoda,0,0,5000,6000,6000,8000,8000,10300,11300,12200,13100,13800,14400,15100,15200,16500,18100,17800,18000,18400,18600,18600,18700,18800,18900,19000,19200,19400,19400,19500,19600
07/06/2021,My Potna Dem,$ilkMoney,41400,62200,84800,101700,107400,117600,130200,143200,143200,159600,166800,166800,178700,190100,195300,207100,215200,223700,227100,0,239800,0,0,0,270900,273800,277000,277500,280000,283100,284700
07/07/2021,Sorry Bout That,YEAT,6200,7000,7500,8400,8900,9200,9800,11100,12000,12800,13500,14100,14600,15400,15900,16600,17100,17400,0,18400,0,0,0,20100,20300,20700,21100,22100,21900,22400,22900
10/22/2021,Still Onto You,917 Rackz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/11/2021,NFAMOUS,Jshinning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/02/2021,#SideN!ggaAnthem,VegasMadeChri$!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/2022,304,Airitout JuJu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/2022,Dumb Crasy,So Supa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/2022,Stripper Anthem,ZahSosaa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/20/2022,Pimpin�?Caine$tiff,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
01/25/2022,Scammer,Almighty Bigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
01/26/2022,Hours Make Ours,Emmitt Dupree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
02/09/2022,Like Dat,Travis Porter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
02/13/2022,Rocking A Cardigan in Atlanta,Lil Shordie Scott,0,0,0,0,0,0,0,0,0,14200,19500,,,,,,,,,,,,,,,,,,,,
02/14/2022,hot cheetos y limon,Babylungs,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
